id	Series16_A549-ACE2_SARS-CoV-2_1	Series16_A549-ACE2_SARS-CoV-2_2	Series16_A549-ACE2_SARS-CoV-2_3	Series16_A549-ACE2_SARS-CoV-2_Rux_1	Series16_A549-ACE2_SARS-CoV-2_Rux_2	Series16_A549-ACE2_SARS-CoV-2_Rux_3
GAPDH	15759	17820	16951	22155	22079	17097
FTL	10789	11042	9523	13933	15361	11760
ANXA2	3592	3750	3204	4901	5667	3990
ACTG1	12098	12649	11629	16388	16185	12261
FTH1	6466	6700	5979	7266	6250	5389
PKM	9637	10142	8562	11451	12503	10365
KRT5	1	1	0	0	0	1
KRT6A	0	1	4	0	3	0
LAMC2	200	209	197	421	300	204
KRT8	5563	5038	3915	5301	4770	4199
ENO1	4401	5075	4911	5878	6846	5036
FN1	10630	9616	7743	9517	11032	7311
RPL4	5191	6019	5897	8609	9160	7077
KRT17	1	5	2	3	0	0
S100A2	26	18	28	30	35	30
TPT1	7264	8204	8768	10293	11017	7413
LDHA	11390	14338	14779	14937	22852	15827
KRT7	3838	4345	4129	5958	4989	4224
TMSB10	4469	4868	4229	4982	4922	4027
HSPA8	4880	6754	6396	4484	8694	5977
RPLP0	4668	5180	5163	7927	7782	5982
S100A6	2847	2916	2860	4229	3777	2696
HSP90AA1	8408	10309	10493	9501	14420	9803
RPS2	3489	4115	4003	6065	4646	4077
SCD	2170	2088	1801	2876	2812	2583
RPL19	3470	3968	4195	5644	5208	4018
EEF2	4252	4901	4928	7039	5633	4388
KRT18	3499	3120	2345	3725	3433	2947
KRT19	233	249	207	381	340	296
RPLP1	2334	3076	3201	4335	3460	2548
ITGB1	2527	2576	2290	3680	3718	2997
RPS19	4624	5489	5916	7290	6248	4714
ALDOA	3327	4154	4065	4650	5306	3905
KRT81	861	1001	899	1321	858	717
ACTN4	2112	2201	1985	3380	2768	2279
RPS3	1942	2310	2359	3059	3162	2413
RPS11	3745	4233	4254	5567	5317	3983
KRT14	0	0	0	1	0	0
PFN1	1989	2031	1907	2840	2840	2270
RPL13	2373	2872	2925	3706	3291	2483
UBC	13521	16825	18981	18137	24111	13826
RPS16	3676	4465	4621	5545	5006	3975
AHNAK	1142	1290	1181	2082	1877	1644
RPL3	1774	2196	2293	3037	2751	2149
TKT	1795	1838	1678	3144	2551	2206
AKR1C2	3016	2854	2432	3586	3802	2511
HSP90B1	2135	2139	2166	3028	3892	2457
PSAP	1760	1715	1587	2294	2142	1709
RPL23	3099	3927	4126	5277	5117	4054
EEF1G	2172	2408	2435	3407	3543	2709
RPS24	2593	2781	3083	3757	4267	2959
IGFBP4	3867	3811	3447	3435	2674	2196
MYH9	1812	1907	1925	3182	2925	2151
RPSA	3198	3668	3513	5136	5638	4205
MYL6	2398	2450	2288	3057	3315	2451
EIF4G2	4726	5430	5304	8202	8199	6298
FLNB	3086	3589	3499	3323	3631	2710
RPL27A	2238	2497	2463	3415	3301	2424
LAMB3	221	182	193	351	203	155
RPL26	3233	4027	4148	5126	5510	4060
P4HB	2639	2709	2388	3483	3646	2697
VIM	1948	1980	1861	2594	2558	2020
LAMA3	229	239	228	345	325	280
APP	2006	2046	1968	2480	2755	1969
RPL6	1904	2015	1966	3173	3310	2465
S100A10	1477	1600	1453	1895	1899	1532
NCL	2558	2765	2536	3651	4096	2958
CFL1	2132	2188	1875	2720	2476	2181
AKR1C3	2031	1995	1738	2902	2616	1999
TUBA1B	953	1010	855	1502	1532	1251
NQO1	2001	1960	1591	2737	2812	2242
MT2A	347	479	406	228	175	117
TPI1	1986	2113	1997	2805	2802	2311
S100A11	936	915	771	1082	945	815
CALR	1065	958	816	1450	1314	1123
RPS7	3138	3366	3444	4799	5008	3633
SPTBN1	6221	6700	6591	9013	8311	5558
PRDX1	801	884	687	1075	1263	967
RPL15	2181	2316	2522	3585	3807	2888
RPS8	1744	2039	2141	2763	2712	2029
TPM4	1859	1702	1675	2283	2202	1934
B2M	3845	4330	3921	3567	3648	2792
RPL11	2252	2630	2593	3140	3372	2602
TAGLN2	985	1027	1025	1583	1526	1128
RPL37A	2096	2498	2584	2937	3005	2214
PGD	1426	1287	1084	1822	1702	1314
RPS15A	2681	3062	3033	4311	4569	3331
RPL32	2353	2924	2792	3313	3474	2615
CD44	853	791	785	1068	1015	777
RPS27	2611	3035	3064	3950	4311	3066
CXCL5	1868	1921	1797	2204	1699	1544
ITGA3	1345	1337	1157	1806	1238	1031
RPL27	2407	2789	2692	3297	3312	2521
RPL5	1647	1915	2020	2728	2994	2201
THBS1	188	221	197	288	288	250
GSTP1	706	772	693	1184	971	905
DDX5	7268	7924	7608	10773	11127	8245
COL17A1	24	9	18	35	24	17
CA12	3638	3314	2938	3604	3596	2789
RPS3A	1195	1395	1518	2017	1994	1542
LDHB	1365	1443	1293	2012	2141	1669
TXNRD1	1598	2005	1794	2754	2968	2270
YBX1	595	592	626	895	961	778
PTMA	1449	1436	1401	2034	2057	1579
RPL28	1263	1746	1737	2113	1751	1463
GPI	5170	5709	5394	8161	9923	7191
RPL18	756	987	982	1349	1208	1013
HNRNPC	3075	3405	3685	4790	5312	3388
GNAS	1312	1303	1213	1663	1741	1345
SLC7A5	1327	1511	1531	2327	1518	1149
EIF5A	1234	1305	1176	1676	1621	1289
ACLY	1419	1256	1086	1835	1678	1438
HSPD1	2812	3415	3083	3270	4537	3274
TMBIM6	1837	1930	1917	2651	3057	2133
RPLP2	1100	1368	1346	1746	1296	1061
UBB	2427	2763	2832	3189	3460	2563
CD59	822	953	900	1164	1199	914
NEAT1	9039	10060	10660	15612	15721	10641
RPL31	1801	2294	2456	2678	3077	2151
ERBB2	133	148	116	209	194	130
DYNC1H1	2373	2472	2240	3308	3296	2378
TPM1	1299	1264	1349	2005	1891	1591
MYOF	2040	1995	1851	3275	3216	2469
DCBLD2	3318	3470	3537	5466	5428	4497
CALM2	2022	2333	2419	3401	3647	2556
YWHAE	2438	2803	2902	3454	4092	2854
RPS5	1479	1896	1867	2356	2230	1631
JUP	244	254	259	425	354	309
HDLBP	1147	1200	1093	1731	1722	1263
H3F3B	4391	4753	4836	6717	6387	4296
ATP2A2	2685	2644	2468	3432	2956	2675
RPL9	1506	1735	1929	2302	2501	1944
NACA	1764	2087	2214	2879	3094	2121
RPL23A	1330	1502	1579	1941	2013	1436
RPS27A	3089	3619	3825	4564	5139	3674
RPL24	995	1148	1217	1482	1581	1109
AHNAK2	1178	1014	865	2005	1576	1312
RPS9	609	699	784	1035	860	629
CYP24A1	519	582	504	666	614	545
SPINT2	807	797	769	1277	1143	871
CAPN2	1449	1407	1333	2209	2047	1692
