id	SARS-COV2_Mock	SARS-COV2_Mock	SARS-COV2_Mock	SARS-COV2	SARS-COV2	SARS-COV2	SARS-CoV-2_Rux	SARS-CoV-2_Rux	SARS-CoV-2_Rux
GAPDH	23684	113605	92797	15759	17820	16951	22155	22079	17097
FTL	22157	99435	83028	10789	11042	9523	13933	15361	11760
ANXA2	9613	42200	36784	3592	3750	3204	4901	5667	3990
ACTG1	8863	47795	37787	12098	12649	11629	16388	16185	12261
FTH1	8914	43358	32528	6466	6700	5979	7266	6250	5389
PKM	14259	64391	53737	9637	10142	8562	11451	12503	10365
KRT5	0	0	0	1	1	0	0	0	1
KRT6A	1	0	1	0	1	4	0	3	0
LAMC2	99	500	481	200	209	197	421	300	204
KRT8	9241	40061	38427	5563	5038	3915	5301	4770	4199
ENO1	7642	36237	31254	4401	5075	4911	5878	6846	5036
FN1	10702	42249	35836	10630	9616	7743	9517	11032	7311
RPL4	6427	29850	24112	5191	6019	5897	8609	9160	7077
KRT17	0	4	2	1	5	2	3	0	0
S100A2	4	35	26	26	18	28	30	35	30
TPT1	4604	20863	16863	7264	8204	8768	10293	11017	7413
LDHA	9325	40698	33887	11390	14338	14779	14937	22852	15827
KRT7	2853	14089	12786	3838	4345	4129	5958	4989	4224
TMSB10	4501	18233	15242	4469	4868	4229	4982	4922	4027
HSPA8	7815	40606	33723	4880	6754	6396	4484	8694	5977
RPLP0	5746	28555	24028	4668	5180	5163	7927	7782	5982
S100A6	2937	13055	11992	2847	2916	2860	4229	3777	2696
HSP90AA1	10642	54837	41994	8408	10309	10493	9501	14420	9803
RPS2	3283	17364	13492	3489	4115	4003	6065	4646	4077
SCD	3635	16870	13867	2170	2088	1801	2876	2812	2583
RPL19	4684	21175	16710	3470	3968	4195	5644	5208	4018
EEF2	3394	17012	12539	4252	4901	4928	7039	5633	4388
KRT18	5583	22857	23026	3499	3120	2345	3725	3433	2947
KRT19	345	1361	1384	233	249	207	381	340	296
RPLP1	2397	12259	9706	2334	3076	3201	4335	3460	2548
ITGB1	4184	18195	14301	2527	2576	2290	3680	3718	2997
RPS19	7315	37828	32106	4624	5489	5916	7290	6248	4714
ALDOA	4259	20698	17263	3327	4154	4065	4650	5306	3905
KRT81	1248	6208	5338	861	1001	899	1321	858	717
ACTN4	3832	18225	15009	2112	2201	1985	3380	2768	2279
RPS3	3363	15118	12699	1942	2310	2359	3059	3162	2413
RPS11	4036	15861	13849	3745	4233	4254	5567	5317	3983
KRT14	0	0	1	0	0	0	1	0	0
PFN1	3233	14352	12461	1989	2031	1907	2840	2840	2270
RPL13	2546	12793	10687	2373	2872	2925	3706	3291	2483
UBC	4970	25847	21927	13521	16825	18981	18137	24111	13826
RPS16	4225	19738	16744	3676	4465	4621	5545	5006	3975
AHNAK	1217	5800	4487	1142	1290	1181	2082	1877	1644
RPL3	2724	13900	12226	1774	2196	2293	3037	2751	2149
TKT	2956	14027	11733	1795	1838	1678	3144	2551	2206
AKR1C2	5065	23027	20172	3016	2854	2432	3586	3802	2511
HSP90B1	3208	14642	11747	2135	2139	2166	3028	3892	2457
PSAP	4459	22383	18959	1760	1715	1587	2294	2142	1709
RPL23	2845	12302	10372	3099	3927	4126	5277	5117	4054
EEF1G	2989	13182	11333	2172	2408	2435	3407	3543	2709
RPS24	3574	15287	11800	2593	2781	3083	3757	4267	2959
IGFBP4	2222	9719	8830	3867	3811	3447	3435	2674	2196
MYH9	2242	11591	9174	1812	1907	1925	3182	2925	2151
RPSA	2831	15622	13827	3198	3668	3513	5136	5638	4205
MYL6	3268	14013	12749	2398	2450	2288	3057	3315	2451
EIF4G2	4449	21698	16697	4726	5430	5304	8202	8199	6298
FLNB	1538	8165	6128	3086	3589	3499	3323	3631	2710
RPL27A	2187	10760	8651	2238	2497	2463	3415	3301	2424
LAMB3	114	636	506	221	182	193	351	203	155
RPL26	3095	14174	11384	3233	4027	4148	5126	5510	4060
P4HB	3218	15516	12465	2639	2709	2388	3483	3646	2697
VIM	2642	12411	10180	1948	1980	1861	2594	2558	2020
LAMA3	226	1262	760	229	239	228	345	325	280
APP	2742	13113	10279	2006	2046	1968	2480	2755	1969
RPL6	2328	11154	9183	1904	2015	1966	3173	3310	2465
S100A10	2457	10419	9173	1477	1600	1453	1895	1899	1532
NCL	2579	12259	8740	2558	2765	2536	3651	4096	2958
CFL1	2898	13557	11673	2132	2188	1875	2720	2476	2181
AKR1C3	3723	16894	15349	2031	1995	1738	2902	2616	1999
TUBA1B	1765	9508	7627	953	1010	855	1502	1532	1251
NQO1	4186	20086	15962	2001	1960	1591	2737	2812	2242
MT2A	134	582	556	347	479	406	228	175	117
TPI1	4512	21396	19126	1986	2113	1997	2805	2802	2311
S100A11	1422	6368	5589	936	915	771	1082	945	815
CALR	2295	10744	8237	1065	958	816	1450	1314	1123
RPS7	2479	12643	10794	3138	3366	3444	4799	5008	3633
SPTBN1	2165	10060	7509	6221	6700	6591	9013	8311	5558
PRDX1	2328	11100	9145	801	884	687	1075	1263	967
RPL15	2024	9797	8468	2181	2316	2522	3585	3807	2888
RPS8	2202	10277	8643	1744	2039	2141	2763	2712	2029
TPM4	1835	8081	7472	1859	1702	1675	2283	2202	1934
