id	SARS-COV2_Mock	SARS-COV2_Mock	SARS-COV2_Mock	SARS-COV2	SARS-COV2	SARS-COV2	SARS-CoV-2_Rux	SARS-CoV-2_Rux	SARS-CoV-2_Rux
PTPRB	14	52	67	10	13	11	38	48	31
RAP1GAP	86	315	243	33	27	32	127	130	64
TPPP3	132	405	433	24	20	26	111	69	57
ALDH1A3	65	281	189	31	23	21	96	68	68
CCL2	72	289	293	613	795	790	2541	2097	1659
CMTM4	182	1049	756	110	89	121	245	264	239
MMP24	168	853	703	123	113	117	339	278	209
ICOSLG	20	109	83	81	73	63	197	182	127
ABCG2	155	792	615	63	69	59	143	165	127
CEACAM6	557	2329	2192	382	367	293	814	813	725
SLC40A1	194	953	729	61	77	58	143	172	116
CYP1A1	1	10	1	60	61	50	122	133	117
PLS1	164	663	558	75	77	101	205	222	131
ROR1	83	384	328	111	109	87	280	212	167
CNTN1	1116	4807	4025	327	351	318	773	774	569
ARRB1	95	387	330	104	117	85	264	223	156
PLCB4	149	620	503	252	238	240	537	552	384
ABHD2	662	2982	2301	485	407	354	984	862	665
CYP2S1	164	768	496	140	170	144	369	329	219
NBEA	143	624	532	191	140	163	338	363	264
SIPA1L2	122	579	423	173	169	149	338	353	263
CAMKK1	29	174	145	136	142	131	338	271	192
SFMBT2	69	342	270	278	290	296	578	669	421
KLHL12	86	442	323	143	159	152	306	331	224
DNM2	344	1597	1196	224	228	218	438	492	328
TTC3	275	1164	869	209	181	232	394	440	322
SYNE1	216	889	634	476	432	415	1005	843	611
NFKBID	11	26	17	145	173	153	333	315	221
TRIM16L	388	2145	1760	445	396	336	825	751	570
TGFB2	201	888	825	197	251	245	481	404	365
ZNF532	166	743	645	267	280	252	558	502	376
GPX2	2507	9173	8837	693	632	530	1110	1293	891
SOX9	104	374	377	622	739	905	1550	1516	958
SEL1L	362	1539	1234	228	267	280	502	487	369
TUBA1A	1413	5835	5359	785	859	858	1513	1625	1224
SIPA1L3	271	1294	905	370	348	353	724	632	486
S100A4	1098	4750	5025	1608	1512	1584	2796	3032	2180
TIPARP	231	1011	783	4170	4342	4517	7910	8295	5908
PLEKHG2	133	594	548	1303	1314	1395	2758	2470	1634
ATF3	90	435	338	1408	1624	1714	2795	3054	2015
CSRNP1	74	423	362	2147	2313	2493	2981	2789	2051
PFKFB3	1343	6033	5075	2764	3138	2951	3345	3729	2722
CAB39	279	1262	1136	672	715	727	835	839	617
AMIGO2	735	3488	3446	2346	2309	2262	3142	2410	1933
ACTN1	603	2791	2385	708	698	643	761	820	590
PDCD5	392	1797	1396	596	744	727	809	800	577
DENND5A	192	851	701	521	553	544	602	634	465
AXL	284	1269	1150	694	657	610	839	658	564
CXCL1	145	829	740	1581	1640	1704	2207	1707	1283
TM4SF1	1744	7417	7298	1990	2034	1971	2223	2224	1789
EGLN3	973	3948	3667	1609	1743	1645	1774	1994	1419
UBE2Z	395	1772	1366	854	858	761	951	912	707
TMSB10	4501	18233	15242	4469	4868	4229	4982	4922	4027
NRBP1	622	2767	2231	726	760	671	806	888	547
AMBRA1	115	624	513	387	362	356	462	388	296
SIK1	339	1800	1443	1272	1510	1672	1872	1584	1147
PSMA4	617	2966	2360	819	907	737	874	975	678
PDE4B	100	400	381	668	619	665	850	754	433
PYGL	440	2002	1472	440	480	464	510	463	432
DEDD2	137	775	629	300	345	371	359	388	287
MCL1	955	4736	3873	4769	5268	5836	5767	5897	4476
GRN	532	2664	2262	422	435	413	547	407	345
